"author","question"
Data Scientist at Precima was asked...," Assumptions of linear regression, survival analysis. What is VIF and how to calculate it? Basic clustering question. linear programming. optimization 3 brain teaser questions: 1. burn two ropes. 2. bacteria double it self every minute, 100 minutes to fill a cup for one bacteria, how long does it take for two bacteria 3. 10 machines produce coins, one of them is broken. how to use one scale to find out which with only one measure. "
Data Scientist at Upwork was asked...," Choice of model for the given dataset, why would you use R over Python or viceversa. Questions about probability theory."
Data Scientist at Uptake was asked..., Generic HR questions and some questions about my latest Kaggle contest.
Data Scientist at AbbVie was asked..., What is your managerial style?
Data Scientist at Envoy Global was asked..., Standard questions about past experience. Some technical SQL questions but nothing hard.
Data Scientist at Civis Analytics was asked..., Questions based on autoencoder. Focus on deep learning models.
Applied Data Scientist at Civis Information Technologies was asked..., Why are you interested in data science? Why Civis Analytics? Recent relevant work/internship projects? Do you have a portfolio?
Data Scientist at Conversant was asked..., How to detect a robot
Data Scientist at Conversant was asked...," Set up an optimization problem, minimizing the cost while keep the marketing goals met."
Applied Data Scientist at Civis Analytics was asked..., Q: Standard Statistical questions that can be solved through R or Python (restricted to share actual questions)
Data Scientist at Uptake was asked..., What do you do during your spare time?
Junior Data Scientist at Aisle Rocket Studios was asked..., How many windows are there in NYC? They didn't expect a number but more about the thought process.
Data Scientist at Dow was asked..., Tell me the data structure you have learned?
Data Scientist at Blue Health Intelligence was asked..., I was asked about my work history and career interests.
Data Scientist at Uptake was asked..., Which R function would you use to extracting a sub string from a string?
Data Scientist at Civis Analytics was asked..., What is one of the world’s biggest problems and how would you help solve it using big data?
Data Scientist at ActiveCampaign was asked...," Background, motivations, and etc."
Data Scientist at Uptake was asked..., When do we use logistic regression models?
Data Scientist at Uptake was asked..., What is the output of logistic regression? How do you detect outliers?
Data Scientist at Uptake was asked..., How to you detect outline?
Data Scientist at Groupon was asked...," I signed an NDA, so I can't give much details, but one interviewer asked me a very open ended question that involved how I would create/design/implement a certain algorithm from start to end."
Research Scientist/Engineer III (Data Manager) at University of Washington was asked..., Would you be comfortable just being a programmer?
Research Scientist/Engineer III (Data Manager) at University of Washington was asked..., Are you comfortable with this level of pay cut?
Senior Data Scientist at MAANA was asked...," A lot of questions about my presentation. One silly question is what number is not equal to itsself (NaN). Come on, could you please focus on the high-level picture for the company?"
Data Scientist at LoyaltyOne was asked...," Linear regression, Bayesian statistics"
Senior Data Scientist at Amazon was asked...," if the model is not perfect, how would you like to select the threshold so that the model outputs 1 or 0 for label?"
Data Scientist at Salesforce was asked..., One interviewer asked me how I would build a classifier to predict the outcome of NFL games in real time. Great question.
